,Say,g1,g2,g3,g4,g5,timestamp
67,AA,-14.46153736114502,-17.128204345703125,-18.710622787475586,-19.706958770751953,-20.61538314819336,1576053406.983975
68,EE,-11.531134605407715,-5.582415580749512,-2.9450531005859375,0.0,0.0,1575906332.7798572
69,EU,-20.205127716064453,-13.699633598327637,-14.021977424621582,-16.630037307739258,-16.366300582885742,1575904357.954514
70,AR,-10.593404769897461,-10.007326126098633,-18.622711181640625,-8.54212474822998,-1.245421290397644,1576049053.7467031
71,OO,-2.769228935241699,-7.926739692687988,-4.527470588684082,-5.963369846343994,-10.739925384521484,1576050579.8805618
72,AA,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906057.997019
73,OO,-16.014652252197266,-15.780219078063965,-6.285712718963623,-12.087910652160645,-7.545787334442139,1576052426.93607
74,EU,-16.014652252197266,-15.780219078063965,-6.285712718963623,-12.087910652160645,-7.545787334442139,1576052412.355499
75,AR,-12.820512771606445,-15.223443031311035,-12.029304504394531,-8.043953895568848,-22.959707260131836,1576051520.965178
76,AR,-16.33699607849121,-12.879119873046875,-16.659339904785156,-14.373625755310059,-11.706958770751953,1576077887.163097
77,EU,-21.67032814025879,-24.0,-17.919414520263672,-18.44688606262207,-21.05494499206543,1575906981.46001
78,EE,-5.904761791229248,-8.923074722290039,-10.241756439208984,-8.54212474822998,-7.311355113983154,1576080312.608803
79,AR,-7.985347747802734,1.0,1.0,-6.520146369934082,-2.007326126098633,1576054847.030665
80,AA,-16.33699607849121,-12.879119873046875,-16.659339904785156,-14.373625755310059,-11.706958770751953,1576077889.572798
81,AA,0.0,-19.706958770751953,-21.875457763671875,-23.516483306884766,-23.428569793701172,1576051996.0235062
82,OO,-20.263734817504883,-13.963370323181152,-17.802196502685547,-16.80586051940918,-18.388277053833008,1575904382.5495172
83,OO,-10.886446952819824,-10.974358558654785,-11.706958770751953,-16.043954849243164,-11.413919448852539,1576056476.010171
84,OO,-8.043953895568848,-7.223443031311035,-3.6483497619628906,-6.021976470947266,-11.413919448852539,1576046899.531013
